Name,Date,Time,Type,Hours,Late,Emotion
images,11-07-2026,14:39:39,IN,,False,Neutral
madrid-spain-23rd-dec-2017-cristiano-ronaldo-forward-real-madrid-in-KT946N,11-07-2026,14:48:51,IN,,False,Neutral
MS_Dhoni_(Prabhav_'23_-_RiGI_2023),11-07-2026,15:04:51,IN,,False,Neutral
images (1),11-07-2026,15:04:55,IN,,False,Neutral
WIN_20260711_15_13_46_Pro,11-07-2026,15:19:19,IN,,False,Neutral
WIN_20260711_15_14_01_Pro,11-07-2026,15:19:19,IN,,False,Neutral
WIN_20260711_15_14_04_Pro,11-07-2026,15:19:19,IN,,False,Neutral
malay,11-07-2026,15:38:53,IN,,False,Neutral
IMG20260607211840,11-07-2026,22:03:18,IN,,False,Neutral
WIN_20260712_07_33_44_Pro,12-07-2026,07:42:47,IN,,False,Neutral
IMG20260607211840,12-07-2026,07:45:13,IN,,False,Neutral
images (2),12-07-2026,07:47:25,IN,,False,Neutral
images (1),12-07-2026,11:57:57,IN,,False,Neutral
atanu,12-07-2026,11:58:01,IN,,False,Neutral
images,12-07-2026,11:58:57,IN,,False,Neutral
malay,12-07-2026,11:58:58,IN,,False,Neutral
MS_Dhoni_(Prabhav_'23_-_RiGI_2023),12-07-2026,11:59:04,IN,,False,Neutral
both,12-07-2026,12:12:18,IN,,False,Neutral
IMG20260607211840,14-07-2026,07:29:38,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:21,OUT,0h 38m,False,Neutral
IMG20260607211840,14-07-2026,08:08:21,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:22,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:08:22,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:22,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:08:24,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:25,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:08:25,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:27,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:08:27,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:27,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:08:27,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:35,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:08:35,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:35,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:08:36,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:08:36,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:09:07,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:09:07,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:09:07,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:09:08,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:09:08,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:09:08,OUT,0h 00m,False,Neutral
